GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Nicepop Domain Plugin,org.nicepop.domain,App,13,0,2,0,5,0,3,0,2,0
Nicepop Domain Plugin,org.nicepop.domain,Recipe,26,0,0,0,10,0,5,0,5,0
Nicepop Domain Plugin,org.nicepop.domain,Product,13,0,0,0,6,0,3,0,3,0
Nicepop Domain Plugin,org.nicepop.domain,Dinner,4,0,0,0,2,0,1,0,1,0
Nicepop Domain Plugin,org.nicepop.domain,Meal,13,0,0,0,6,0,3,0,3,0
